Year,Team,Wins,Loss,Home Wins,Home Loss,Away Wins,Away Loss,HomePCT,AwayPCT,TotalPCT
1969,Detroit Pistons,31,51,18,20,10,25,0.473684211,0.285714286,0.37804878
1970,Detroit Pistons,45,37,24,17,20,19,0.585365854,0.512820513,0.548780488
1971,Detroit Pistons,26,56,16,25,9,30,0.390243902,0.230769231,0.317073171
1972,Detroit Pistons,40,42,26,15,13,25,0.634146341,0.342105263,0.487804878
1973,Detroit Pistons,52,30,29,12,23,17,0.707317073,0.575,0.634146341
1974,Detroit Pistons,40,42,26,15,14,27,0.634146341,0.341463415,0.487804878
1975,Detroit Pistons,36,46,24,17,12,29,0.585365854,0.292682927,0.43902439
1976,Detroit Pistons,44,38,30,11,14,27,0.731707317,0.341463415,0.536585366
1977,Detroit Pistons,38,44,24,17,14,27,0.585365854,0.341463415,0.463414634
1978,Detroit Pistons,30,52,22,19,8,33,0.536585366,0.195121951,0.365853659
1979,Detroit Pistons,16,66,13,28,3,38,0.317073171,0.073170732,0.195121951
1980,Detroit Pistons,21,61,14,27,7,34,0.341463415,0.170731707,0.256097561
1981,Detroit Pistons,39,43,23,18,16,25,0.56097561,0.390243902,0.475609756
1982,Detroit Pistons,37,45,23,18,14,27,0.56097561,0.341463415,0.451219512
1983,Detroit Pistons,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
1984,Detroit Pistons,46,36,26,15,20,21,0.634146341,0.487804878,0.56097561
1985,Detroit Pistons,46,36,31,10,15,26,0.756097561,0.365853659,0.56097561
1986,Detroit Pistons,52,30,32,9,20,21,0.780487805,0.487804878,0.634146341
1987,Detroit Pistons,54,28,34,7,20,21,0.829268293,0.487804878,0.658536585
1988,Detroit Pistons,63,19,37,4,26,15,0.902439024,0.634146341,0.768292683
1989,Detroit Pistons,59,23,35,6,24,17,0.853658537,0.585365854,0.719512195
1990,Detroit Pistons,50,32,32,9,18,23,0.780487805,0.43902439,0.609756098
1991,Detroit Pistons,48,34,25,16,23,18,0.609756098,0.56097561,0.585365854
1992,Detroit Pistons,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1993,Detroit Pistons,20,62,10,31,10,31,0.243902439,0.243902439,0.243902439
1994,Detroit Pistons,28,54,22,19,6,35,0.536585366,0.146341463,0.341463415
1995,Detroit Pistons,46,36,30,11,16,25,0.731707317,0.390243902,0.56097561
1996,Detroit Pistons,54,28,30,11,24,17,0.731707317,0.585365854,0.658536585
1997,Detroit Pistons,37,45,25,16,12,29,0.609756098,0.292682927,0.451219512
1998,Detroit Pistons,29,21,17,8,12,13,0.68,0.48,0.58
1999,Detroit Pistons,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
2000,Detroit Pistons,32,50,18,23,14,27,0.43902439,0.341463415,0.390243902
2001,Detroit Pistons,50,32,26,15,24,17,0.634146341,0.585365854,0.609756098
2002,Detroit Pistons,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
2003,Detroit Pistons,54,28,31,10,23,18,0.756097561,0.56097561,0.658536585
2004,Detroit Pistons,54,28,32,9,22,19,0.780487805,0.536585366,0.658536585
2005,Detroit Pistons,64,18,37,4,27,14,0.902439024,0.658536585,0.780487805
2006,Detroit Pistons,53,29,26,15,27,14,0.634146341,0.658536585,0.646341463
2007,Detroit Pistons,59,23,34,7,25,16,0.829268293,0.609756098,0.719512195
2008,Detroit Pistons,39,43,21,20,18,23,0.512195122,0.43902439,0.475609756
2009,Detroit Pistons,27,55,17,24,10,31,0.414634146,0.243902439,0.329268293
2010,Detroit Pistons,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1971,GoldenState Warriors,51,31,27,8,21,20,0.771428571,0.512195122,0.62195122
1972,GoldenState Warriors,47,35,27,14,18,20,0.658536585,0.473684211,0.573170732
1973,GoldenState Warriors,44,38,23,18,20,20,0.56097561,0.5,0.536585366
1974,GoldenState Warriors,48,34,31,10,17,24,0.756097561,0.414634146,0.585365854
1975,GoldenState Warriors,59,23,36,5,23,18,0.87804878,0.56097561,0.719512195
1976,GoldenState Warriors,46,36,29,12,17,24,0.707317073,0.414634146,0.56097561
1977,GoldenState Warriors,43,39,30,11,13,28,0.731707317,0.317073171,0.524390244
1978,GoldenState Warriors,38,44,23,18,15,26,0.56097561,0.365853659,0.463414634
1979,GoldenState Warriors,24,58,15,26,9,32,0.365853659,0.219512195,0.292682927
1980,GoldenState Warriors,39,43,26,15,13,28,0.634146341,0.317073171,0.475609756
1981,GoldenState Warriors,45,37,28,13,17,24,0.682926829,0.414634146,0.548780488
1982,GoldenState Warriors,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1983,GoldenState Warriors,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
1984,GoldenState Warriors,22,60,17,24,5,36,0.414634146,0.12195122,0.268292683
1985,GoldenState Warriors,30,52,24,17,6,35,0.585365854,0.146341463,0.365853659
1986,GoldenState Warriors,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
1987,GoldenState Warriors,20,62,16,25,4,37,0.390243902,0.097560976,0.243902439
1988,GoldenState Warriors,43,39,29,12,14,27,0.707317073,0.341463415,0.524390244
1989,GoldenState Warriors,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
1990,GoldenState Warriors,44,38,30,11,14,27,0.731707317,0.341463415,0.536585366
1991,GoldenState Warriors,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1992,GoldenState Warriors,34,48,19,22,15,26,0.463414634,0.365853659,0.414634146
1993,GoldenState Warriors,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
1994,GoldenState Warriors,26,56,15,26,11,30,0.365853659,0.268292683,0.317073171
1995,GoldenState Warriors,36,46,23,18,13,28,0.56097561,0.317073171,0.43902439
1996,GoldenState Warriors,30,52,18,23,12,29,0.43902439,0.292682927,0.365853659
1997,GoldenState Warriors,19,63,12,29,7,34,0.292682927,0.170731707,0.231707317
1998,GoldenState Warriors,21,29,13,12,8,17,0.52,0.32,0.42
1999,GoldenState Warriors,19,63,12,29,7,34,0.292682927,0.170731707,0.231707317
2000,GoldenState Warriors,17,65,11,30,6,35,0.268292683,0.146341463,0.207317073
2001,GoldenState Warriors,21,61,14,27,7,34,0.341463415,0.170731707,0.256097561
2002,GoldenState Warriors,38,44,24,17,14,27,0.585365854,0.341463415,0.463414634
2003,GoldenState Warriors,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
2004,GoldenState Warriors,34,48,20,21,14,27,0.487804878,0.341463415,0.414634146
2005,GoldenState Warriors,34,48,21,20,13,28,0.512195122,0.317073171,0.414634146
2006,GoldenState Warriors,42,40,30,11,12,29,0.731707317,0.292682927,0.512195122
2007,GoldenState Warriors,48,34,27,14,21,20,0.658536585,0.512195122,0.585365854
2008,GoldenState Warriors,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
2009,GoldenState Warriors,26,56,18,23,8,33,0.43902439,0.195121951,0.317073171
2010,GoldenState Warriors,36,46,26,15,10,31,0.634146341,0.243902439,0.43902439
1971,Houston Rockets,34,48,15,20,14,23,0.428571429,0.378378378,0.414634146
1972,Houston Rockets,33,49,14,14,10,28,0.5,0.263157895,0.402439024
1973,Houston Rockets,32,50,18,23,13,25,0.43902439,0.342105263,0.390243902
1974,Houston Rockets,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1975,Houston Rockets,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1976,Houston Rockets,49,33,34,7,15,26,0.829268293,0.365853659,0.597560976
1977,Houston Rockets,28,54,21,20,7,34,0.512195122,0.170731707,0.341463415
1978,Houston Rockets,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1979,Houston Rockets,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1980,Houston Rockets,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
1981,Houston Rockets,46,36,25,16,21,20,0.609756098,0.512195122,0.56097561
1982,Houston Rockets,14,68,9,32,5,36,0.219512195,0.12195122,0.170731707
1983,Houston Rockets,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
1984,Houston Rockets,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1985,Houston Rockets,51,31,36,5,15,26,0.87804878,0.365853659,0.62195122
1986,Houston Rockets,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
1987,Houston Rockets,46,36,31,10,15,26,0.756097561,0.365853659,0.56097561
1988,Houston Rockets,45,37,31,10,14,27,0.756097561,0.341463415,0.548780488
1989,Houston Rockets,41,41,31,10,10,31,0.756097561,0.243902439,0.5
1990,Houston Rockets,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
1991,Houston Rockets,42,40,28,13,14,27,0.682926829,0.341463415,0.512195122
1992,Houston Rockets,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1993,Houston Rockets,58,24,35,6,23,18,0.853658537,0.56097561,0.707317073
1994,Houston Rockets,47,35,25,16,22,19,0.609756098,0.536585366,0.573170732
1995,Houston Rockets,48,34,27,14,21,20,0.658536585,0.512195122,0.585365854
1996,Houston Rockets,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
1997,Houston Rockets,41,41,24,17,17,24,0.585365854,0.414634146,0.5
1998,Houston Rockets,31,19,19,6,12,13,0.76,0.48,0.62
1999,Houston Rockets,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2000,Houston Rockets,45,37,24,17,21,20,0.585365854,0.512195122,0.548780488
2001,Houston Rockets,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2002,Houston Rockets,43,39,28,13,15,26,0.682926829,0.365853659,0.524390244
2003,Houston Rockets,45,37,27,14,18,23,0.658536585,0.43902439,0.548780488
2004,Houston Rockets,51,31,26,15,25,16,0.634146341,0.609756098,0.62195122
2005,Houston Rockets,34,48,15,26,19,22,0.365853659,0.463414634,0.414634146
2006,Houston Rockets,52,30,28,13,24,17,0.682926829,0.585365854,0.634146341
2007,Houston Rockets,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
2008,Houston Rockets,53,29,33,8,20,21,0.804878049,0.487804878,0.646341463
2009,Houston Rockets,42,40,23,18,19,22,0.56097561,0.463414634,0.512195122
2010,Houston Rockets,43,39,25,16,18,23,0.609756098,0.43902439,0.524390244
1976,Indiana Pacers,36,46,25,16,11,30,0.609756098,0.268292683,0.43902439
1977,Indiana Pacers,31,51,21,20,10,31,0.512195122,0.243902439,0.37804878
1978,Indiana Pacers,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1979,Indiana Pacers,37,45,26,15,11,30,0.634146341,0.268292683,0.451219512
1980,Indiana Pacers,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
1981,Indiana Pacers,35,47,25,16,10,31,0.609756098,0.243902439,0.426829268
1982,Indiana Pacers,20,62,14,27,6,35,0.341463415,0.146341463,0.243902439
1983,Indiana Pacers,26,56,20,21,6,35,0.487804878,0.146341463,0.317073171
1984,Indiana Pacers,22,60,16,25,6,35,0.390243902,0.146341463,0.268292683
1985,Indiana Pacers,26,56,19,22,7,34,0.463414634,0.170731707,0.317073171
1986,Indiana Pacers,41,41,28,13,13,28,0.682926829,0.317073171,0.5
1987,Indiana Pacers,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1988,Indiana Pacers,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
1989,Indiana Pacers,42,40,28,13,14,27,0.682926829,0.341463415,0.512195122
1990,Indiana Pacers,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1991,Indiana Pacers,40,42,26,15,14,27,0.634146341,0.341463415,0.487804878
1992,Indiana Pacers,41,41,27,14,14,27,0.658536585,0.341463415,0.5
1993,Indiana Pacers,47,35,29,12,18,23,0.707317073,0.43902439,0.573170732
1994,Indiana Pacers,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
1995,Indiana Pacers,52,30,32,9,20,21,0.780487805,0.487804878,0.634146341
1996,Indiana Pacers,39,43,21,20,18,23,0.512195122,0.43902439,0.475609756
1997,Indiana Pacers,58,24,32,9,26,15,0.780487805,0.634146341,0.707317073
1998,Indiana Pacers,33,17,18,7,15,10,0.72,0.6,0.66
1999,Indiana Pacers,56,26,36,5,20,21,0.87804878,0.487804878,0.682926829
2000,Indiana Pacers,41,41,26,15,15,26,0.634146341,0.365853659,0.5
2001,Indiana Pacers,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2002,Indiana Pacers,48,34,32,9,16,25,0.780487805,0.390243902,0.585365854
2003,Indiana Pacers,61,21,34,7,27,14,0.829268293,0.658536585,0.743902439
2004,Indiana Pacers,44,38,25,16,19,22,0.609756098,0.463414634,0.536585366
2005,Indiana Pacers,41,41,27,14,14,27,0.658536585,0.341463415,0.5
2006,Indiana Pacers,35,47,22,19,13,28,0.536585366,0.317073171,0.426829268
2007,Indiana Pacers,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
2008,Indiana Pacers,36,46,25,16,11,30,0.609756098,0.268292683,0.43902439
2009,Indiana Pacers,32,50,23,18,9,32,0.56097561,0.219512195,0.390243902
2010,Indiana Pacers,37,45,24,17,13,28,0.585365854,0.317073171,0.451219512
1950,Indianapolis Olympians,31,37,19,12,10,24,0.612903226,0.294117647,0.455882353
1951,Indianapolis Olympians,34,32,25,6,4,24,0.806451613,0.142857143,0.515151515
1952,Indianapolis Olympians,28,43,19,14,4,23,0.575757576,0.148148148,0.394366197
1976,KansasCity Kings,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1977,KansasCity Kings,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
1978,KansasCity Kings,48,34,32,9,16,25,0.780487805,0.390243902,0.585365854
1979,KansasCity Kings,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1980,KansasCity Kings,40,42,24,17,16,25,0.585365854,0.390243902,0.487804878
1981,KansasCity Kings,30,52,23,18,7,34,0.56097561,0.170731707,0.365853659
1982,KansasCity Kings,45,37,30,11,15,26,0.731707317,0.365853659,0.548780488
1983,KansasCity Kings,38,44,26,15,12,29,0.634146341,0.292682927,0.463414634
1984,KansasCity Kings,31,51,23,18,8,33,0.56097561,0.195121951,0.37804878
1972,KansasCity-Omaha Kings,36,46,24,17,12,29,0.585365854,0.292682927,0.43902439
1973,KansasCity-Omaha Kings,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
1974,KansasCity-Omaha Kings,44,38,29,12,15,26,0.707317073,0.365853659,0.536585366
1975,KansasCity-Omaha Kings,31,51,25,16,6,35,0.609756098,0.146341463,0.37804878
1984,LosAngeles Clippers,31,51,20,21,11,30,0.487804878,0.268292683,0.37804878
1985,LosAngeles Clippers,32,50,22,19,10,31,0.536585366,0.243902439,0.390243902
1986,LosAngeles Clippers,12,70,9,32,3,38,0.219512195,0.073170732,0.146341463
1987,LosAngeles Clippers,17,65,14,27,3,38,0.341463415,0.073170732,0.207317073
1988,LosAngeles Clippers,21,61,17,24,4,37,0.414634146,0.097560976,0.256097561
1989,LosAngeles Clippers,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
1990,LosAngeles Clippers,31,51,23,18,8,33,0.56097561,0.195121951,0.37804878
1991,LosAngeles Clippers,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1992,LosAngeles Clippers,41,41,27,14,14,27,0.658536585,0.341463415,0.5
1993,LosAngeles Clippers,27,55,17,24,10,31,0.414634146,0.243902439,0.329268293
1994,LosAngeles Clippers,17,65,13,28,4,37,0.317073171,0.097560976,0.207317073
1995,LosAngeles Clippers,29,53,19,22,10,31,0.463414634,0.243902439,0.353658537
1996,LosAngeles Clippers,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
1997,LosAngeles Clippers,17,65,11,30,6,35,0.268292683,0.146341463,0.207317073
1998,LosAngeles Clippers,9,41,6,19,3,22,0.24,0.12,0.18
1999,LosAngeles Clippers,15,67,10,31,5,36,0.243902439,0.12195122,0.182926829
2000,LosAngeles Clippers,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
2001,LosAngeles Clippers,39,43,25,16,14,27,0.609756098,0.341463415,0.475609756
2002,LosAngeles Clippers,27,55,16,25,11,30,0.390243902,0.268292683,0.329268293
2003,LosAngeles Clippers,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2004,LosAngeles Clippers,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
2005,LosAngeles Clippers,47,35,27,14,20,21,0.658536585,0.487804878,0.573170732
2006,LosAngeles Clippers,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2007,LosAngeles Clippers,23,59,13,28,10,31,0.317073171,0.243902439,0.280487805
2008,LosAngeles Clippers,19,63,11,30,8,33,0.268292683,0.195121951,0.231707317
2009,LosAngeles Clippers,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
2010,LosAngeles Clippers,32,50,23,18,9,32,0.56097561,0.219512195,0.390243902
1960,LosAngeles Lakers,36,43,16,12,6,20,0.571428571,0.230769231,0.455696203
1961,LosAngeles Lakers,54,26,26,5,18,13,0.838709677,0.580645161,0.675
1962,LosAngeles Lakers,53,27,27,7,20,17,0.794117647,0.540540541,0.6625
1963,LosAngeles Lakers,42,38,24,12,15,21,0.666666667,0.416666667,0.525
1964,LosAngeles Lakers,49,31,25,13,21,16,0.657894737,0.567567568,0.6125
1965,LosAngeles Lakers,45,35,28,11,13,21,0.717948718,0.382352941,0.5625
1966,LosAngeles Lakers,36,45,21,18,12,20,0.538461538,0.375,0.444444444
1967,LosAngeles Lakers,52,30,30,11,18,19,0.731707317,0.486486486,0.634146341
1968,LosAngeles Lakers,55,27,32,9,21,18,0.780487805,0.538461538,0.670731707
1969,LosAngeles Lakers,46,36,27,14,17,21,0.658536585,0.447368421,0.56097561
1970,LosAngeles Lakers,48,34,30,11,17,22,0.731707317,0.435897436,0.585365854
1971,LosAngeles Lakers,69,13,36,5,31,7,0.87804878,0.815789474,0.841463415
1972,LosAngeles Lakers,60,22,30,11,28,11,0.731707317,0.717948718,0.731707317
1973,LosAngeles Lakers,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1974,LosAngeles Lakers,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1975,LosAngeles Lakers,40,42,31,10,9,32,0.756097561,0.219512195,0.487804878
1976,LosAngeles Lakers,53,29,37,4,16,25,0.902439024,0.390243902,0.646341463
1977,LosAngeles Lakers,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1978,LosAngeles Lakers,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
1979,LosAngeles Lakers,60,22,37,4,23,18,0.902439024,0.56097561,0.731707317
1980,LosAngeles Lakers,54,28,30,11,24,17,0.731707317,0.585365854,0.658536585
1981,LosAngeles Lakers,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
1982,LosAngeles Lakers,58,24,33,8,25,16,0.804878049,0.609756098,0.707317073
1983,LosAngeles Lakers,54,28,28,13,26,15,0.682926829,0.634146341,0.658536585
1984,LosAngeles Lakers,62,20,36,5,26,15,0.87804878,0.634146341,0.756097561
1985,LosAngeles Lakers,62,20,35,6,27,14,0.853658537,0.658536585,0.756097561
1986,LosAngeles Lakers,65,17,37,4,28,13,0.902439024,0.682926829,0.792682927
1987,LosAngeles Lakers,62,20,36,5,26,15,0.87804878,0.634146341,0.756097561
1988,LosAngeles Lakers,57,25,35,6,22,19,0.853658537,0.536585366,0.695121951
1989,LosAngeles Lakers,63,19,37,4,26,15,0.902439024,0.634146341,0.768292683
1990,LosAngeles Lakers,58,24,33,8,25,16,0.804878049,0.609756098,0.707317073
1991,LosAngeles Lakers,43,39,24,17,19,22,0.585365854,0.463414634,0.524390244
1992,LosAngeles Lakers,39,43,20,21,19,22,0.487804878,0.463414634,0.475609756
1993,LosAngeles Lakers,33,49,21,20,12,29,0.512195122,0.292682927,0.402439024
1994,LosAngeles Lakers,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1995,LosAngeles Lakers,53,29,30,11,23,18,0.731707317,0.56097561,0.646341463
1996,LosAngeles Lakers,56,26,31,10,25,16,0.756097561,0.609756098,0.682926829
1997,LosAngeles Lakers,61,21,33,8,28,13,0.804878049,0.682926829,0.743902439
1998,LosAngeles Lakers,31,19,18,7,13,12,0.72,0.52,0.62
1999,LosAngeles Lakers,67,15,36,5,31,10,0.87804878,0.756097561,0.817073171
2000,LosAngeles Lakers,56,26,31,10,25,16,0.756097561,0.609756098,0.682926829
2001,LosAngeles Lakers,58,24,34,7,24,17,0.829268293,0.585365854,0.707317073
2002,LosAngeles Lakers,50,32,31,10,19,22,0.756097561,0.463414634,0.609756098
2003,LosAngeles Lakers,56,26,34,7,22,19,0.829268293,0.536585366,0.682926829
2004,LosAngeles Lakers,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2005,LosAngeles Lakers,45,37,27,14,18,23,0.658536585,0.43902439,0.548780488
2006,LosAngeles Lakers,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2007,LosAngeles Lakers,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
2008,LosAngeles Lakers,65,17,36,5,29,12,0.87804878,0.707317073,0.792682927
2009,LosAngeles Lakers,57,25,34,7,23,18,0.829268293,0.56097561,0.695121951
2010,LosAngeles Lakers,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
2001,Memphis Grizzlies,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
2002,Memphis Grizzlies,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
2003,Memphis Grizzlies,50,32,31,10,19,22,0.756097561,0.463414634,0.609756098
2004,Memphis Grizzlies,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
2005,Memphis Grizzlies,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
2006,Memphis Grizzlies,22,60,14,27,8,33,0.341463415,0.195121951,0.268292683
2007,Memphis Grizzlies,22,60,14,27,8,33,0.341463415,0.195121951,0.268292683
2008,Memphis Grizzlies,24,58,16,25,8,33,0.390243902,0.195121951,0.292682927
2009,Memphis Grizzlies,40,42,23,18,17,24,0.56097561,0.414634146,0.487804878
2010,Memphis Grizzlies,46,36,30,11,16,25,0.731707317,0.390243902,0.56097561
1988,Miami Heat,15,67,12,29,3,38,0.292682927,0.073170732,0.182926829
1989,Miami Heat,18,64,11,30,7,34,0.268292683,0.170731707,0.219512195
1990,Miami Heat,24,58,18,23,6,35,0.43902439,0.146341463,0.292682927
1991,Miami Heat,38,44,28,13,10,31,0.682926829,0.243902439,0.463414634
1992,Miami Heat,36,46,26,15,10,31,0.634146341,0.243902439,0.43902439
1993,Miami Heat,42,40,22,19,20,21,0.536585366,0.487804878,0.512195122
1994,Miami Heat,32,50,22,19,10,31,0.536585366,0.243902439,0.390243902
1995,Miami Heat,42,40,26,15,16,25,0.634146341,0.390243902,0.512195122
1996,Miami Heat,61,21,29,12,32,9,0.707317073,0.780487805,0.743902439
1997,Miami Heat,55,27,30,11,25,16,0.731707317,0.609756098,0.670731707
1998,Miami Heat,33,17,18,7,15,10,0.72,0.6,0.66
1999,Miami Heat,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
2000,Miami Heat,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
2001,Miami Heat,36,46,18,23,18,23,0.43902439,0.43902439,0.43902439
2002,Miami Heat,25,57,16,25,9,32,0.390243902,0.219512195,0.304878049
2003,Miami Heat,42,40,29,12,13,28,0.707317073,0.317073171,0.512195122
2004,Miami Heat,59,23,35,6,24,17,0.853658537,0.585365854,0.719512195
2005,Miami Heat,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
2006,Miami Heat,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
2007,Miami Heat,15,67,9,32,6,35,0.219512195,0.146341463,0.182926829
2008,Miami Heat,43,39,28,13,15,26,0.682926829,0.365853659,0.524390244
2009,Miami Heat,47,35,24,17,23,18,0.585365854,0.56097561,0.573170732
2010,Miami Heat,58,24,30,11,28,13,0.731707317,0.682926829,0.707317073
1968,Milwaukee Bucks,27,55,15,19,8,27,0.441176471,0.228571429,0.329268293
1969,Milwaukee Bucks,56,26,27,11,24,14,0.710526316,0.631578947,0.682926829
1970,Milwaukee Bucks,66,16,34,2,28,13,0.944444444,0.682926829,0.804878049
1971,Milwaukee Bucks,63,19,31,5,27,12,0.861111111,0.692307692,0.768292683
1972,Milwaukee Bucks,60,22,33,5,25,15,0.868421053,0.625,0.731707317
1973,Milwaukee Bucks,59,23,31,7,24,16,0.815789474,0.6,0.719512195
1974,Milwaukee Bucks,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1975,Milwaukee Bucks,38,44,22,19,16,25,0.536585366,0.390243902,0.463414634
1976,Milwaukee Bucks,30,52,24,17,6,35,0.585365854,0.146341463,0.365853659
1977,Milwaukee Bucks,44,38,28,13,16,25,0.682926829,0.390243902,0.536585366
1978,Milwaukee Bucks,38,44,28,13,10,31,0.682926829,0.243902439,0.463414634
1979,Milwaukee Bucks,49,33,28,13,21,20,0.682926829,0.512195122,0.597560976
1980,Milwaukee Bucks,60,22,34,7,26,15,0.829268293,0.634146341,0.731707317
1981,Milwaukee Bucks,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1982,Milwaukee Bucks,51,31,31,10,20,21,0.756097561,0.487804878,0.62195122
1983,Milwaukee Bucks,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
1984,Milwaukee Bucks,59,23,36,5,23,18,0.87804878,0.56097561,0.719512195
1985,Milwaukee Bucks,57,25,33,8,24,17,0.804878049,0.585365854,0.695121951
1986,Milwaukee Bucks,50,32,32,9,18,23,0.780487805,0.43902439,0.609756098
1987,Milwaukee Bucks,42,40,30,11,12,29,0.731707317,0.292682927,0.512195122
1988,Milwaukee Bucks,49,33,31,10,18,23,0.756097561,0.43902439,0.597560976
1989,Milwaukee Bucks,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
1990,Milwaukee Bucks,48,34,33,8,15,26,0.804878049,0.365853659,0.585365854
1991,Milwaukee Bucks,31,51,25,16,6,35,0.609756098,0.146341463,0.37804878
1992,Milwaukee Bucks,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
1993,Milwaukee Bucks,20,62,11,30,9,32,0.268292683,0.219512195,0.243902439
1994,Milwaukee Bucks,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
1995,Milwaukee Bucks,25,57,14,27,11,30,0.341463415,0.268292683,0.304878049
1996,Milwaukee Bucks,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
1997,Milwaukee Bucks,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
1998,Milwaukee Bucks,28,22,17,8,11,14,0.68,0.44,0.56
1999,Milwaukee Bucks,42,40,23,18,19,22,0.56097561,0.463414634,0.512195122
2000,Milwaukee Bucks,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
2001,Milwaukee Bucks,41,41,25,16,16,25,0.609756098,0.390243902,0.5
2002,Milwaukee Bucks,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2003,Milwaukee Bucks,41,41,27,14,14,27,0.658536585,0.341463415,0.5
2004,Milwaukee Bucks,30,52,23,18,7,34,0.56097561,0.170731707,0.365853659
2005,Milwaukee Bucks,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2006,Milwaukee Bucks,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2007,Milwaukee Bucks,26,56,19,22,7,34,0.463414634,0.170731707,0.317073171
2008,Milwaukee Bucks,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2009,Milwaukee Bucks,46,36,28,13,18,23,0.682926829,0.43902439,0.56097561
2010,Milwaukee Bucks,35,47,22,19,13,28,0.536585366,0.317073171,0.426829268
1951,Milwaukee Hawks,17,49,7,13,3,22,0.35,0.12,0.257575758
